,0
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
1998-01-01,1998-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
2010-01-01,2010-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
1996-01-01,1996-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2006-01-01,2006-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2016-01-01,2016-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
2018-01-01,2018-01-01
